"PERIODO","MES","BARRIO","GRAVEDAD","CONTEO"
2014,2,"","Solo danos",5
2014,2,"Aguas Frias","Herido",2
2014,2,"Aldea Pablo VI","Herido",1
2014,2,"Alejandria","Herido",4
2014,2,"Alejandria","Solo danos",10
2014,2,"Alejandro Echavarria","Herido",11
2014,2,"Alejandro Echavarria","Solo danos",1
2014,2,"Alfonso Lopez","Herido",6
2014,2,"Alfonso Lopez","Solo danos",7
2014,2,"Altamira","Herido",13
2014,2,"Altamira","Solo danos",10
2014,2,"Altavista","Herido",1
2014,2,"Altavista","Solo danos",3
2014,2,"Altavista Sector Central","Herido",2
2014,2,"Altos del Poblado","Solo danos",1
2014,2,"Andalucia","Herido",2
2014,2,"Andalucia","Solo danos",1
2014,2,"Antonio Narino","Herido",6
2014,2,"Aranjuez","Herido",13
2014,2,"Aranjuez","Solo danos",14
2014,2,"area de Expansion Pajarito","Herido",7
2014,2,"Asomadera Nº 1","Herido",1
2014,2,"Asomadera Nº 1","Solo danos",5
2014,2,"Asomadera Nº 2","Herido",4
2014,2,"Asomadera Nº 2","Solo danos",5
2014,2,"Asomadera Nº 3","Solo danos",2
2014,2,"Astorga","Herido",2
2014,2,"Astorga","Solo danos",5
2014,2,"AUC1","Herido",1
2014,2,"Aures Nº 1","Herido",5
2014,2,"Aures Nº 1","Solo danos",1
2014,2,"Aures Nº 2","Herido",4
2014,2,"Aures Nº 2","Solo danos",3
2014,2,"Barrio Colombia","Herido",5
2014,2,"Barrio Colombia","Muerto",1
2014,2,"Barrio Colombia","Solo danos",12
2014,2,"Barrio Colon","Herido",21
2014,2,"Barrio Colon","Solo danos",27
2014,2,"Barrio Cristobal","Herido",2
2014,2,"Barrio Cristobal","Solo danos",1
2014,2,"Barrios de Jesus","Herido",1
2014,2,"Barrios de Jesus","Solo danos",1
2014,2,"Belalcazar","Herido",6
2014,2,"Belalcazar","Solo danos",1
2014,2,"Belen","Herido",9
2014,2,"Belen","Solo danos",10
2014,2,"Belencito","Herido",2
2014,2,"Bello Horizonte","Herido",2
2014,2,"Bello Horizonte","Solo danos",4
2014,2,"Berlin","Herido",8
2014,2,"Berlin","Solo danos",3
2014,2,"Bermejal - Los alamos","Herido",1
2014,2,"Bermejal - Los alamos","Solo danos",1
2014,2,"Betania","Herido",2
2014,2,"Blanquizal","Herido",2
2014,2,"Bolivariana","Herido",13
2014,2,"Bolivariana","Solo danos",10
2014,2,"Bombona Nº 1","Herido",13
2014,2,"Bombona Nº 1","Muerto",1
2014,2,"Bombona Nº 1","Solo danos",17
2014,2,"Bombona Nº 2","Herido",3
2014,2,"Bombona Nº 2","Solo danos",1
2014,2,"Bosques de San Pablo","Herido",2
2014,2,"Bosques de San Pablo","Solo danos",4
2014,2,"Boston","Herido",29
2014,2,"Boston","Solo danos",17
2014,2,"Boyaca","Herido",3
2014,2,"Boyaca","Solo danos",7
2014,2,"Brasilia","Herido",7
2014,2,"Brasilia","Muerto",1
2014,2,"Brasilia","Solo danos",1
2014,2,"Buenos Aires","Herido",8
2014,2,"Buenos Aires","Solo danos",3
2014,2,"Buga Patio Bonito","Solo danos",1
2014,2,"Cabecera San Antonio de Prado","Herido",4
2014,2,"Cabecera San Antonio de Prado","Solo danos",1
2014,2,"Cabecera Urbana San Cristobal","Herido",10
2014,2,"Cabecera Urbana San Cristobal","Solo danos",1
2014,2,"Caicedo","Herido",8
2014,2,"Caicedo","Solo danos",1
2014,2,"Calasanz","Herido",1
2014,2,"Calasanz","Solo danos",7
2014,2,"Calasanz Parte Alta","Herido",1
2014,2,"Calasanz Parte Alta","Solo danos",6
2014,2,"Calle Nueva","Herido",10
2014,2,"Calle Nueva","Solo danos",16
2014,2,"Campo Alegre","Herido",5
2014,2,"Campo Alegre","Solo danos",8
2014,2,"Campo Amor","Herido",27
2014,2,"Campo Amor","Solo danos",36
2014,2,"Campo Valdes Nº 1","Herido",13
2014,2,"Campo Valdes Nº 1","Solo danos",7
2014,2,"Campo Valdes Nº 2","Herido",17
2014,2,"Caribe","Herido",38
2014,2,"Caribe","Solo danos",31
2014,2,"Carlos E. Restrepo","Herido",17
2014,2,"Carlos E. Restrepo","Solo danos",33
2014,2,"Carpinelo","Herido",2
2014,2,"Castilla","Herido",46
2014,2,"Castilla","Solo danos",35
2014,2,"Castropol","Herido",6
2014,2,"Castropol","Solo danos",5
2014,2,"Cataluna","Herido",2
2014,2,"Cataluna","Solo danos",2
2014,2,"Cerro Nutibara","Herido",5
2014,2,"Cerro Nutibara","Solo danos",4
2014,2,"Corazon de Jesus","Herido",24
2014,2,"Corazon de Jesus","Solo danos",17
2014,2,"Cordoba","Herido",5
2014,2,"Cordoba","Solo danos",4
2014,2,"Cristo Rey","Herido",15
2014,2,"Cristo Rey","Solo danos",11
2014,2,"Cuarta Brigada","Herido",12
2014,2,"Cuarta Brigada","Solo danos",5
2014,2,"Cucaracho","Herido",13
2014,2,"Cucaracho","Solo danos",3
2014,2,"Diego Echavarria","Herido",2
2014,2,"Diego Echavarria","Solo danos",6
2014,2,"Doce de Octubre Nº 1","Herido",8
2014,2,"Doce de Octubre Nº 1","Solo danos",2
2014,2,"Doce de Octubre Nº 2","Herido",10
2014,2,"Doce de Octubre Nº 2","Solo danos",2
2014,2,"Eduardo Santos","Solo danos",1
2014,2,"El Castillo","Herido",2
2014,2,"El Castillo","Solo danos",5
2014,2,"El Chagualo","Herido",9
2014,2,"El Chagualo","Solo danos",13
2014,2,"El Compromiso","Herido",2
2014,2,"El Corazon","Herido",2
2014,2,"El Danubio","Herido",3
2014,2,"El Danubio","Solo danos",5
2014,2,"El Diamante","Herido",13
2014,2,"El Diamante","Solo danos",3
2014,2,"El Diamante Nº 2","Solo danos",3
2014,2,"El Nogal - Los Almendros","Herido",5
2014,2,"El Nogal - Los Almendros","Muerto",1
2014,2,"El Nogal - Los Almendros","Solo danos",1
2014,2,"El Pinal","Herido",9
